Time	X	Y	SaccadeFlag
772988	536.7	410.6	0
772989	537.4	410.6	0
772990	538.1	410.1	0
772991	538.4	409.2	0
772992	538.9	408.4	0
772993	539.5	407.6	0
772994	540	407.2	0
772995	540	406.9	0
772996	539.9	407.1	0
772997	540	407.3	0
772998	540	407.4	0
772999	540.1	407.6	0
773000	540.1	408.5	0
773001	540.4	409.4	0
773002	540.7	410.2	0
773003	541	410.7	0
773004	541.5	411.3	0
773005	541.9	411.9	0
773006	542.3	411.6	0
773007	542.4	411	0
773008	542.5	410.4	0
773009	542.7	409.6	0
773010	542.8	409.3	0
773011	542.8	408.9	0
773012	542.8	408.6	0
773013	542.8	408.2	0
773014	542.8	407.9	0
773015	542.1	407.6	0
773016	541.3	407.4	0
773017	540.6	407.3	0
773018	540.1	407.6	0
773019	539.6	408.2	0
773020	539.2	408.7	0
773021	539.3	409	0
773022	539.3	409	0
773023	539.3	409.2	0
773024	539.4	409.5	0
773025	539.6	410	0
773026	539.7	410.3	0
773027	539.8	410.4	0
773028	539.8	410.3	0
773029	539.8	409.9	0
773030	539.7	409.5	0
773031	539.8	409.4	0
773032	539.8	409.4	0
773033	539.6	409.7	0
773034	539.4	409.9	0
773035	539.1	410.3	0
773036	538.8	410.4	0
773037	538.5	410.1	0
773038	538.1	409.7	0
773039	538.2	409	0
773040	538.3	408.7	0
773041	538.4	408.4	0
773042	538.5	408.4	0
773043	538.8	408.1	0
773044	539.2	407.8	0
773045	539.5	407.7	0
773046	539.6	408	0
773047	539.6	408.2	0
773048	539.7	408.3	0
773049	539.6	408.2	0
773050	539.5	408	0
773051	539.3	407.8	0
773052	539.1	407.7	0
773053	539	407.8	0
773054	538.9	408.2	0
773055	538.8	408.4	0
773056	538.8	408.7	0
773057	539.2	408.9	0
773058	539.7	409.4	0
773059	540	410.4	0
773060	539.5	411	0
773061	539	411.4	0
773062	538.9	411.3	0
773063	539	411.1	0
773064	539.1	410.9	0
773065	539.1	410.7	0
773066	539	410.4	0
773067	539	410.2	0
773068	539.4	410	0
773069	539.8	410.1	0
773070	540.5	410.2	0
773071	540.8	410	0
773072	541.1	409.8	0
773073	541.1	409.8	0
773074	541	410	0
773075	541	410.2	0
773076	540.9	410.2	0
773077	540.9	410.2	0
773078	540.9	410.3	0
773079	540.8	410.3	0
773080	540.8	410.4	0
773081	540.8	410.6	0
773082	540.8	410.7	0
773083	540.8	410.7	0
773084	540.8	410.8	0
773085	540.6	411	0
773086	540.4	411.2	0
773087	540.2	410.6	0
773088	540.1	409.8	0
773089	539.7	409.5	0
773090	539.3	409.9	0
773091	538.9	410	0
773092	538.9	409.6	0
773093	538.8	409.2	0
773094	539	409.1	0
773095	539.1	408.6	0
773096	539.2	408.1	0
773097	539	407.6	0
773098	538.8	407.4	0
773099	538.2	407.3	0
773100	537.9	407.9	0
773101	537.6	408.5	0
773102	537.7	409.1	0
773103	537.9	409.2	0
773104	538	409.2	0
773105	538.1	409.3	0
773106	538.5	409.4	0
773107	539	409.8	0
773108	539.2	410.5	0
773109	539.3	411	0
773110	539.4	411.2	0
773111	539.5	411.1	0
773112	539.4	410.9	0
773113	539.3	411	0
773114	539.6	411.1	0
773115	540.1	411.1	0
773116	540.5	411.3	0
773117	540.8	411.4	0
773118	541	411.1	0
773119	541.3	410.5	0
773120	541.2	409.9	0
773121	541.2	410.1	0
773122	541.2	410.4	0
773123	541.3	410.4	0
773124	541.1	410	0
773125	540.6	409.6	0
773126	540.1	409.3	0
773127	539.8	409	0
773128	539.9	408.7	0
773129	539.9	408.2	0
773130	539.9	408.1	0
773131	540	408.4	0
773132	540	409	0
773133	540.1	409.6	0
773134	540.1	409.8	0
773135	540.1	409.9	0
773136	539.9	409.3	0
773137	539.8	408.6	0
773138	539.8	408.1	0
773139	539.4	408.2	0
773140	538.9	408.3	0
773141	538.5	408.4	0
773142	538.6	408.4	0
773143	538.8	408.5	0
773144	538.6	408.6	0
773145	538.4	408.5	0
773146	538.5	408.5	0
773147	538.7	408.5	0
773148	538.9	408.5	0
773149	538.8	408.6	0
773150	538.8	408.8	0
773151	538.7	409	0
773152	538.6	409.1	0
773153	538.5	409.1	0
773154	538.9	409	0
773155	539.3	409.1	0
773156	539.2	409.2	0
773157	538.8	409.1	0
773158	538.7	408.9	0
773159	539	408.6	0
773160	539.4	408.5	0
773161	539.4	408.5	0
773162	539.3	408.6	0
773163	538.9	408.7	0
773164	538.4	408.9	0
773165	538.3	409	0
773166	538.5	409.2	0
773167	538.7	409.7	0
773168	539	410.2	0
773169	539.2	410.6	0
773170	539.4	410.6	0
773171	539.6	410.6	0
773172	539.5	410.6	0
773173	539.4	410.5	0
773174	539.3	410.1	0
773175	539.4	409.6	0
773176	539.5	409.1	0
773177	539.7	409	0
773178	539.7	409	0
773179	539.5	409.1	0
773180	539.5	409.2	0
773181	539.4	409.1	0
773182	539.3	408.9	0
773183	539.2	408.5	0
773184	539	408.2	0
773185	539	408.3	0
773186	539	408.6	0
773187	539.1	408.9	0
773188	539.1	409	0
773189	539.2	409.1	0
773190	539.3	409.2	0
773191	539.3	409.3	0
773192	539.3	409.5	0
773193	539.3	409.6	0
773194	539.2	409.7	0
773195	539.2	409.7	0
773196	539.6	409.5	0
773197	540.1	409.3	0
773198	540.7	409.5	0
773199	540.7	410.1	0
773200	540.8	410.8	0
773201	540.8	411	0
773202	540.8	410.8	0
773203	540.9	410.7	0
773204	541	410.9	0
773205	541.1	411	0
773206	540.8	411	0
773207	540.5	410.9	0
773208	540.5	410.7	0
773209	540.9	410.7	0
773210	541.3	410.7	0
773211	541	410.9	0
773212	540.6	411.3	0
773213	540.8	411.7	0
773214	541.3	411.9	0
773215	541.7	412	0
773216	541.4	412.1	0
773217	541.1	412.2	0
773218	540.9	412.2	0
773219	540.8	412.1	0
773220	541	411.9	0
773221	541.1	411.6	0
773222	541.1	411.5	0
773223	541.1	411.1	0
773224	541	410.3	0
773225	540.9	409.6	1
773226	539.5	409.1	1
773227	537.2	409	1
773228	534.7	408.8	1
773229	531.9	408.7	1
773230	527.9	407.9	1
773231	522.7	406.7	1
773232	518.4	405.4	1
773233	514.4	404.7	1
773234	510.5	404.6	1
773235	505.4	403.2	1
773236	500.4	400.4	1
773237	495.3	397.6	1
773238	490.5	396.3	1
773239	487.3	395.8	1
773240	484.5	394.5	1
773241	482	392.8	1
773242	478.9	390.7	1
773243	476.1	389.2	1
773244	473.4	387.9	1
773245	471.2	387.4	1
773246	469	387.1	1
773247	468.1	386.8	1
773248	467.5	386.6	1
773249	467.5	386.4	1
773250	467.7	386.4	1
773251	467.9	386.1	1
773252	468.2	385.8	1
773253	468.5	385.5	1
773254	469.9	385.4	1
