SampleTime	X	Y	SacFlagEyeLink	SacFlagNystrom
2821192	513.50	400.40	0	0
2821193	513.50	400.10	0	0
2821194	513.50	399.10	0	0
2821195	513.50	398.10	0	0
2821196	513.60	397.40	0	0
2821197	514.70	397.50	0	0
2821198	515.80	397.30	0	0
2821199	516.30	397.00	0	0
2821200	515.70	397.70	0	0
2821201	514.70	398.70	0	0
2821202	514.30	399.70	0	0
2821203	514.10	399.80	0	0
2821204	514.30	399.60	0	0
2821205	514.30	399.40	0	0
2821206	514.10	399.30	0	0
2821207	514.00	399.40	0	0
2821208	513.90	399.00	0	0
2821209	513.80	398.80	0	0
2821210	513.60	398.80	0	0
2821211	513.40	399.10	0	0
2821212	513.30	399.50	0	0
2821213	513.40	399.70	0	0
2821214	514.00	399.80	0	0
2821215	514.50	399.80	0	0
2821216	514.70	399.70	0	0
2821217	514.30	399.80	0	0
2821218	514.00	399.90	0	0
2821219	513.80	400.10	0	0
2821220	513.80	400.20	0	0
2821221	513.70	400.50	0	0
2821222	513.50	400.80	0	0
2821223	513.40	401.00	0	0
2821224	513.40	401.00	0	0
2821225	513.40	401.00	0	0
2821226	513.40	401.10	0	0
2821227	513.10	400.30	0	0
2821228	512.90	399.60	0	0
2821229	512.60	399.10	0	0
2821230	512.70	399.50	0	0
2821231	512.80	400.90	0	0
2821232	513.00	402.00	0	0
2821233	512.90	402.70	0	0
2821234	513.00	402.10	0	0
2821235	512.80	401.60	0	0
2821236	512.70	401.40	0	0
2821237	512.50	401.30	0	0
2821238	512.40	401.30	0	0
2821239	512.60	401.10	0	0
2821240	512.80	400.90	0	0
2821241	513.00	400.60	0	0
2821242	513.30	400.20	0	0
2821243	513.80	399.50	0	0
2821244	514.20	399.00	0	0
2821245	514.40	398.90	0	0
2821246	514.50	399.20	0	0
2821247	513.60	399.70	0	0
2821248	512.60	400.20	0	0
2821249	512.30	400.60	0	0
2821250	513.10	400.60	0	0
2821251	513.80	400.20	0	0
2821252	513.80	399.90	0	0
2821253	513.30	399.80	0	0
2821254	512.70	400.40	0	0
2821255	512.20	400.90	0	0
2821256	513.30	401.00	0	0
2821257	514.50	401.20	0	0
2821258	516.00	401.40	0	0
2821259	516.30	401.40	0	0
2821260	516.00	401.20	0	0
2821261	515.30	402.10	0	0
2821262	514.10	403.30	0	0
2821263	513.60	404.20	0	0
2821264	513.60	403.30	0	0
2821265	514.00	402.40	0	0
2821266	514.50	401.70	0	0
2821267	514.60	401.50	0	0
2821268	514.70	401.40	0	0
2821269	514.70	401.40	0	0
2821270	514.60	401.40	0	0
2821271	514.60	401.20	0	0
2821272	514.60	401.10	0	0
2821273	514.60	401.10	0	0
2821274	514.40	401.50	0	0
2821275	514.30	402.00	0	0
2821276	514.20	402.40	0	0
2821277	514.20	402.00	0	0
2821278	513.80	401.10	0	0
2821279	513.30	400.10	0	0
2821280	512.80	400.70	0	0
2821281	512.30	401.50	0	0
2821282	512.10	402.20	0	0
2821283	512.80	402.10	0	0
2821284	513.80	401.90	0	0
2821285	514.60	401.80	0	0
2821286	514.50	401.70	0	0
2821287	514.40	401.60	0	0
2821288	514.50	401.40	0	0
2821289	514.20	401.40	0	0
2821290	513.80	401.40	0	0
2821291	513.50	401.50	0	0
2821292	513.40	401.50	0	0
2821293	513.30	401.50	0	0
2821294	513.30	401.90	0	0
2821295	513.70	402.20	0	0
2821296	514.00	402.60	0	0
2821297	513.60	403.00	0	0
2821298	512.80	403.70	0	0
2821299	512.20	404.40	0	0
2821300	512.70	404.80	0	0
2821301	513.20	404.80	0	0
2821302	513.60	404.80	0	0
2821303	513.90	404.30	0	0
2821304	513.80	403.30	0	0
2821305	513.70	402.50	0	0
2821306	513.50	401.90	0	0
2821307	513.60	401.80	0	0
2821308	513.50	401.70	0	0
2821309	513.10	401.90	0	0
2821310	512.80	402.60	0	0
2821311	513.00	403.40	0	0
2821312	513.50	404.10	0	0
2821313	513.90	404.30	0	0
2821314	513.80	403.60	0	0
2821315	513.60	402.90	0	0
2821316	513.50	401.60	0	0
2821317	513.20	401.10	0	0
2821318	513.00	401.20	0	0
2821319	512.80	401.80	0	0
2821320	512.80	402.30	0	0
2821321	512.80	402.20	0	0
2821322	512.70	402.00	0	0
2821323	512.90	401.70	0	0
2821324	513.20	401.30	0	0
2821325	513.20	401.00	0	0
2821326	512.90	400.50	0	0
2821327	512.50	400.20	0	0
2821328	512.90	400.50	0	0
2821329	513.50	401.10	0	0
2821330	513.90	401.70	0	0
2821331	513.70	401.80	0	0
2821332	513.10	401.70	0	0
2821333	512.90	401.40	0	0
2821334	513.10	401.10	0	0
2821335	513.60	401.20	0	0
2821336	514.00	401.40	0	0
2821337	514.00	401.70	0	0
2821338	514.20	401.80	0	0
2821339	514.50	402.00	0	0
2821340	514.70	401.70	0	0
2821341	514.70	401.20	0	0
2821342	513.70	400.70	0	0
2821343	512.70	400.70	0	0
2821344	513.20	400.80	0	0
2821345	514.80	401.20	0	0
2821346	516.00	401.60	0	0
2821347	515.40	401.90	0	0
2821348	514.30	401.80	0	0
2821349	513.60	401.50	0	0
2821350	513.20	401.20	0	0
2821351	513.60	400.80	0	0
2821352	513.90	400.70	0	0
2821353	514.00	400.70	0	0
2821354	513.60	400.60	0	0
2821355	513.10	399.80	0	0
2821356	512.90	398.90	0	0
2821357	512.90	398.50	0	0
2821358	513.00	399.10	0	0
2821359	513.20	399.70	0	0
2821360	513.30	399.90	0	0
2821361	513.40	400.40	0	0
2821362	513.40	400.90	0	0
2821363	513.40	401.40	0	0
2821364	513.30	401.40	0	0
2821365	513.00	401.30	0	0
2821366	512.80	401.20	0	0
2821367	512.90	401.20	0	0
2821368	513.10	401.40	0	0
2821369	513.30	401.70	0	0
2821370	513.00	402.00	0	0
2821371	512.90	402.10	0	0
2821372	512.80	402.10	0	0
2821373	511.60	401.10	1	0
2821374	510.40	400.00	1	0
2821375	508.90	398.90	1	1
2821376	508.50	396.90	1	1
2821377	508.00	394.90	1	1
2821378	507.30	392.70	1	1
2821379	506.60	392.50	1	1
