SampleTime	X	Y	SacFlagEyeLink	SacFlagNystrom
2808237	453.90	362.70	0	0
2808238	453.40	363.20	0	0
2808239	452.70	363.40	0	0
2808240	452.00	363.20	0	0
2808241	452.10	362.80	0	0
2808242	452.40	362.60	0	0
2808243	452.80	362.90	0	0
2808244	452.90	363.40	0	0
2808245	452.90	363.70	0	0
2808246	453.40	363.60	0	0
2808247	454.00	363.00	0	0
2808248	454.50	362.00	0	0
2808249	454.40	361.40	0	0
2808250	454.10	361.40	0	0
2808251	453.90	361.90	0	0
2808252	453.70	362.00	0	0
2808253	454.00	361.90	0	0
2808254	454.30	362.30	0	0
2808255	454.50	363.10	0	0
2808256	454.40	363.80	0	0
2808257	454.50	363.60	0	0
2808258	454.90	363.30	0	0
2808259	455.10	363.00	0	0
2808260	455.50	362.80	0	0
2808261	455.80	362.80	0	0
2808262	456.10	362.80	0	0
2808263	454.90	362.40	0	0
2808264	453.60	362.00	0	0
2808265	452.20	362.30	0	0
2808266	452.20	362.90	0	0
2808267	452.30	362.40	0	0
2808268	452.70	361.30	0	0
2808269	452.90	361.70	0	0
2808270	453.00	363.10	0	0
2808271	452.90	364.40	0	0
2808272	453.70	364.30	0	0
2808273	454.60	364.20	0	0
2808274	455.50	364.20	0	0
2808275	455.30	364.20	0	0
2808276	455.60	364.10	0	0
2808277	455.80	364.00	0	0
2808278	455.30	364.00	0	0
2808279	454.30	363.90	0	0
2808280	453.40	363.70	0	0
2808281	453.40	363.30	0	0
2808282	453.50	363.00	0	0
2808283	453.60	363.00	0	0
2808284	453.80	363.20	0	0
2808285	453.30	363.40	0	0
2808286	452.80	364.10	0	0
2808287	452.80	364.50	0	0
2808288	453.30	364.00	0	0
2808289	454.30	363.10	0	0
2808290	454.60	362.40	0	0
2808291	454.20	362.30	0	0
2808292	453.40	362.10	0	0
2808293	452.40	362.40	0	0
2808294	452.10	363.20	0	0
2808295	451.90	364.10	0	0
2808296	452.20	364.80	0	0
2808297	452.50	365.60	0	0
2808298	452.80	366.30	0	0
2808299	453.30	366.10	0	0
2808300	454.00	365.60	0	0
2808301	454.60	365.00	0	0
2808302	455.00	365.20	0	0
2808303	455.20	365.40	0	0
2808304	455.50	365.50	0	0
2808305	455.30	365.40	0	0
2808306	454.90	364.90	0	0
2808307	454.50	364.20	0	0
2808308	454.50	363.70	0	0
2808309	454.40	363.70	0	0
2808310	454.50	364.00	0	0
2808311	454.50	364.40	0	0
2808312	455.00	364.50	0	0
2808313	455.40	364.20	0	0
2808314	455.90	363.90	0	0
2808315	456.10	363.10	0	0
2808316	456.10	362.60	0	0
2808317	455.90	362.20	0	0
2808318	455.60	362.30	0	0
2808319	455.30	363.10	0	0
2808320	455.00	363.80	0	0
2808321	454.80	364.50	0	0
2808322	454.30	364.60	0	0
2808323	453.90	364.70	0	0
2808324	453.80	364.70	0	0
2808325	454.00	364.70	0	0
2808326	454.40	364.90	0	0
2808327	454.50	365.00	0	0
2808328	454.60	365.00	0	0
2808329	454.60	364.90	0	0
2808330	454.70	364.60	0	0
2808331	454.40	364.40	0	0
2808332	454.10	364.30	0	0
2808333	453.70	364.20	0	0
2808334	453.70	364.30	0	0
2808335	453.40	365.20	0	0
2808336	453.30	366.10	0	0
2808337	453.50	366.90	0	0
2808338	454.40	367.20	0	0
2808339	455.30	367.50	0	0
2808340	455.90	367.10	0	0
2808341	456.00	366.40	0	0
2808342	455.40	365.70	0	0
2808343	454.70	365.20	0	0
2808344	453.90	364.60	0	0
2808345	453.70	364.60	0	0
2808346	453.70	365.10	0	0
2808347	453.60	364.60	0	0
2808348	453.50	363.60	0	0
2808349	453.40	363.30	0	0
2808350	453.30	364.20	0	0
2808351	453.40	364.60	0	0
2808352	453.50	364.30	0	0
2808353	453.30	364.00	0	0
2808354	453.10	363.90	0	0
2808355	453.50	363.60	0	0
2808356	454.10	363.20	0	0
