SampleTime	X	Y	SacFlagEyeLink	SacFlagNystrom
2794741	445.60	371.80	0	0
2794742	445.90	371.80	0	0
2794743	446.10	371.90	0	0
2794744	445.70	371.80	0	0
2794745	445.10	371.70	0	0
2794746	444.90	372.80	0	0
2794747	445.30	373.90	0	0
2794748	445.60	375.30	0	0
2794749	445.40	375.60	0	0
2794750	445.30	375.60	0	0
2794751	445.20	375.40	0	0
2794752	445.30	375.10	0	0
2794753	445.40	375.00	0	0
2794754	445.60	374.70	0	0
2794755	445.70	374.30	0	0
2794756	445.90	373.30	0	0
2794757	446.10	372.70	0	0
2794758	446.20	372.80	0	0
2794759	446.10	373.40	0	0
2794760	446.00	373.60	0	0
2794761	446.10	373.10	0	0
2794762	446.10	372.60	0	0
2794763	446.10	372.50	0	0
2794764	445.50	372.70	0	0
2794765	444.90	373.00	0	0
2794766	444.60	373.40	0	0
2794767	444.90	373.30	0	0
2794768	445.20	373.10	0	0
2794769	445.30	373.10	0	0
2794770	445.20	373.30	0	0
2794771	444.80	373.40	0	0
2794772	444.50	373.40	0	0
2794773	444.40	373.30	0	0
2794774	444.50	373.40	0	0
2794775	444.70	373.50	0	0
2794776	444.90	373.90	0	0
2794777	444.60	374.10	0	0
2794778	444.40	374.10	0	0
2794779	444.90	373.90	0	0
2794780	445.80	373.50	0	0
2794781	446.70	373.20	0	0
2794782	446.90	373.30	0	0
2794783	447.10	373.80	0	0
2794784	447.00	374.30	0	0
2794785	446.80	374.40	0	0
2794786	446.80	374.60	0	0
2794787	446.90	375.00	0	0
2794788	446.50	375.50	0	0
2794789	446.20	375.70	0	0
2794790	445.80	375.70	0	0
2794791	445.90	375.40	0	0
2794792	445.90	375.10	0	0
2794793	446.00	374.80	0	0
2794794	445.90	374.80	0	0
2794795	445.80	374.80	0	0
2794796	445.90	374.50	0	0
2794797	446.10	374.20	0	0
2794798	446.50	374.00	0	0
2794799	446.80	374.30	0	0
2794800	446.30	374.70	0	0
2794801	445.60	375.00	0	0
2794802	445.20	375.80	0	0
2794803	445.40	376.30	0	0
2794804	445.60	376.90	0	0
2794805	445.60	377.10	0	0
2794806	445.60	377.30	0	0
2794807	445.50	376.80	0	0
2794808	445.30	376.20	0	0
2794809	445.10	375.60	0	0
2794810	445.60	375.60	0	0
2794811	446.20	375.60	0	0
2794812	446.20	375.50	0	0
2794813	445.60	376.00	0	0
2794814	444.70	376.50	0	0
2794815	444.40	376.70	0	0
2794816	444.10	376.40	0	0
2794817	444.10	376.10	0	0
2794818	444.00	376.20	0	0
2794819	444.00	376.20	0	0
2794820	444.10	376.10	0	0
2794821	444.20	376.40	0	0
2794822	445.30	376.70	0	0
2794823	446.40	377.00	0	0
2794824	446.60	376.90	0	0
2794825	445.60	376.50	0	0
2794826	444.80	376.10	0	0
2794827	445.00	375.60	0	0
2794828	445.00	375.80	0	0
2794829	444.90	376.00	0	0
2794830	445.20	376.30	0	0
2794831	445.60	376.60	0	0
2794832	445.50	376.10	0	0
2794833	444.90	375.40	0	0
2794834	444.30	375.30	0	0
2794835	444.60	375.80	0	0
2794836	445.10	376.30	0	0
2794837	445.60	376.30	0	0
2794838	445.80	376.30	0	0
2794839	446.00	376.30	0	0
2794840	446.00	376.30	0	0
2794841	445.70	376.30	0	0
2794842	445.50	376.00	0	0
2794843	445.40	375.80	0	0
2794844	445.60	375.60	0	0
2794845	445.90	376.50	0	0
2794846	446.40	377.30	1	0
2794847	446.60	377.20	1	0
2794848	445.40	376.20	1	0
2794849	444.00	375.20	1	0
2794850	442.70	375.20	1	1
2794851	441.60	375.30	1	1
2794852	440.20	375.30	1	1
2794853	436.70	375.40	1	1
2794854	432.60	375.60	1	1
2794855	428.10	375.00	1	1
2794856	421.50	374.80	1	1
2794857	414.30	374.60	1	1
2794858	405.40	374.60	1	1
2794859	398.70	374.10	1	1
2794860	389.80	373.60	1	1
2794861	382.00	373.50	1	1
2794862	373.20	373.70	1	1
2794863	366.20	374.00	1	1
2794864	357.10	374.10	1	1
2794865	350.80	373.80	1	1
2794866	343.50	373.80	1	1
2794867	337.20	374.20	1	1
2794868	328.80	374.70	1	1
2794869	320.90	376.20	1	1
2794870	314.90	377.70	1	1
2794871	308.20	379.10	1	1
2794872	303.10	379.80	1	1
2794873	298.10	380.50	1	1
2794874	294.40	381.10	1	1
2794875	290.10	381.70	1	1
2794876	286.10	382.40	1	1
2794877	283.40	383.50	1	1
2794878	281.90	384.00	1	1
2794879	280.40	384.60	1	1
2794880	278.60	384.80	1	1
2794881	277.30	385.10	1	1
2794882	276.80	386.50	1	1
2794883	277.60	387.60	0	1
2794884	278.40	388.60	0	1
2794885	279.00	388.60	0	1
2794886	279.50	388.50	0	1
2794887	280.70	388.30	0	1
2794888	281.70	388.00	0	1
2794889	282.30	387.60	0	1
2794890	282.10	387.10	0	1
2794891	282.10	386.70	0	1
2794892	282.30	386.50	0	1
2794893	282.30	385.90	0	1
2794894	281.10	385.20	0	1
2794895	279.60	384.80	0	1
2794896	278.20	385.00	0	1
2794897	277.70	385.30	0	0
2794898	277.60	385.40	0	0
2794899	277.10	385.70	0	0
2794900	276.60	385.80	0	0
2794901	276.00	385.90	0	0
2794902	275.20	385.90	0	0
2794903	274.50	385.80	0	0
2794904	273.90	385.70	0	0
2794905	274.00	385.20	0	0
2794906	274.10	384.60	0	0
2794907	274.10	384.20	0	0
2794908	274.00	384.40	0	0
2794909	274.00	384.30	0	0
2794910	274.40	384.10	0	0
2794911	274.90	383.70	0	0
2794912	275.30	383.70	0	0
2794913	275.00	384.40	0	0
2794914	274.70	385.10	0	0
2794915	275.20	385.20	0	0
2794916	276.10	384.50	0	0
2794917	276.60	384.40	0	0
2794918	275.90	385.10	0	0
2794919	275.10	385.20	0	0
2794920	274.80	384.60	0	0
2794921	275.10	384.10	0	0
2794922	275.30	384.30	0	0
2794923	275.50	384.00	0	0
2794924	275.60	383.50	0	0
2794925	275.40	383.30	0	0
2794926	274.80	384.20	0	0
2794927	273.90	385.20	0	0
2794928	273.20	385.70	0	0
2794929	273.40	385.40	0	0
2794930	274.10	385.10	0	0
2794931	274.70	385.10	0	0
2794932	274.60	385.50	0	0
2794933	274.80	386.20	0	0
2794934	275.10	386.70	0	0
2794935	275.40	387.20	0	0
2794936	275.40	387.40	0	0
2794937	274.80	387.60	0	0
2794938	274.30	387.50	0	0
2794939	273.70	387.40	0	0
2794940	274.00	387.30	0	0
2794941	274.30	387.20	0	0
2794942	274.70	387.10	0	0
2794943	274.90	387.70	0	0
2794944	274.90	388.50	0	0
2794945	274.60	388.50	0	0
2794946	274.00	387.80	0	0
2794947	273.50	387.00	0	0
2794948	273.30	387.00	0	0
2794949	273.40	386.90	0	0
2794950	273.60	386.90	0	0
2794951	273.70	386.30	0	0
2794952	273.60	385.80	0	0
2794953	273.60	385.30	0	0
2794954	272.90	385.30	0	0
2794955	272.10	385.50	0	0
2794956	272.40	385.60	0	0
2794957	273.40	385.60	0	0
2794958	274.80	385.50	0	0
2794959	275.10	385.90	0	0
2794960	274.90	386.30	0	0
2794961	274.30	386.20	0	0
2794962	273.50	385.70	0	0
2794963	273.40	385.20	0	0
2794964	273.20	385.20	0	0
2794965	273.50	385.00	0	0
2794966	273.80	384.90	0	0
2794967	273.90	385.50	0	0
2794968	273.70	386.20	0	0
2794969	272.90	387.20	0	0
2794970	272.30	387.40	0	0
2794971	271.50	387.70	0	0
2794972	271.30	387.70	0	0
2794973	272.30	387.70	0	0
2794974	273.50	387.90	0	0
2794975	274.40	388.10	0	0
2794976	274.10	388.70	0	0
2794977	273.80	389.00	0	0
2794978	273.90	389.30	0	0
2794979	274.00	389.10	0	0
2794980	274.40	388.10	0	0
2794981	274.60	387.00	0	0
2794982	274.10	386.10	0	0
2794983	273.40	386.10	0	0
2794984	272.60	386.40	0	0
2794985	272.80	386.50	0	0
2794986	273.50	386.30	0	0
2794987	274.10	387.10	0	0
2794988	274.60	388.20	0	0
2794989	274.60	389.70	0	0
2794990	274.50	389.90	0	0
