SampleTime	X	Y	SacFlagEyeLink	SacFlagNystrom
2832801	506.10	401.50	0	0
2832802	506.40	401.10	0	0
2832803	506.70	401.90	0	0
2832804	507.00	402.70	0	0
2832805	507.30	403.00	0	0
2832806	507.90	402.90	0	0
2832807	508.10	402.40	0	0
2832808	508.20	402.00	0	0
2832809	507.30	401.60	0	0
2832810	506.60	401.70	0	0
2832811	506.40	401.70	0	0
2832812	506.90	401.60	0	0
2832813	507.40	401.50	0	0
2832814	507.80	401.40	0	0
2832815	508.20	401.30	0	0
2832816	508.60	401.20	0	0
2832817	508.70	401.10	0	0
2832818	508.70	401.00	0	0
2832819	508.50	401.00	0	0
2832820	508.30	401.30	0	0
2832821	508.10	401.80	0	0
2832822	508.20	402.00	0	0
2832823	508.20	401.90	0	0
2832824	508.10	401.60	0	0
2832825	507.80	401.10	0	0
2832826	507.50	400.50	0	0
2832827	507.30	400.10	0	0
2832828	507.20	400.70	0	0
2832829	507.20	401.50	0	0
2832830	507.40	402.30	0	0
2832831	507.60	402.20	0	0
2832832	507.60	401.80	0	0
2832833	507.10	401.40	0	0
2832834	506.50	401.00	0	0
2832835	506.10	400.90	0	0
2832836	506.10	400.90	0	0
2832837	506.10	401.10	0	0
2832838	506.50	401.20	0	0
2832839	506.90	401.40	0	0
2832840	506.90	401.40	0	0
2832841	506.20	401.50	0	0
2832842	505.50	401.60	0	0
2832843	505.20	401.70	0	0
2832844	505.20	401.50	0	0
2832845	505.20	401.30	0	0
2832846	505.80	401.10	0	0
2832847	506.30	401.20	0	0
2832848	506.10	401.40	0	0
2832849	505.30	401.20	0	0
2832850	506.00	401.00	0	0
2832851	507.50	400.80	0	0
2832852	508.00	400.90	0	0
2832853	507.10	401.00	0	0
2832854	506.10	401.70	0	0
2832855	506.40	402.40	0	0
2832856	506.70	403.10	0	0
2832857	507.80	403.00	0	0
2832858	508.50	402.80	0	0
2832859	507.90	402.60	0	0
2832860	506.40	402.30	1	0
2832861	504.50	402.50	1	0
2832862	503.70	402.60	1	1
2832863	502.80	402.80	1	1
2832864	500.50	403.00	1	1
2832865	498.20	403.30	1	1
2832866	495.70	403.50	1	1
2832867	493.90	403.80	1	1
2832868	492.50	404.00	1	1
2832869	490.60	403.90	1	1
2832870	489.50	403.70	1	1
2832871	488.40	403.10	1	1
2832872	487.30	402.90	1	1
2832873	486.30	402.70	1	1
2832874	485.40	402.30	0	1
2832875	485.00	401.70	0	1
2832876	484.10	401.20	0	1
2832877	483.20	401.10	0	1
2832878	482.30	401.10	0	1
2832879	481.80	400.80	0	1
2832880	481.30	400.70	0	1
2832881	481.80	400.30	0	1
2832882	482.60	400.10	0	1
2832883	483.50	399.90	0	1
2832884	483.60	400.00	0	1
2832885	483.30	400.10	0	1
2832886	483.00	400.20	0	1
2832887	482.90	400.30	0	1
2832888	482.80	400.40	0	1
2832889	482.90	400.50	0	1
2832890	483.00	400.60	0	1
2832891	482.90	400.60	0	1
2832892	482.40	400.90	0	1
2832893	481.90	401.40	0	1
2832894	481.30	402.30	0	1
2832895	480.90	403.20	0	0
2832896	481.00	403.80	0	0
2832897	481.50	404.10	0	0
2832898	481.30	404.00	0	0
2832899	480.70	402.90	0	0
2832900	480.20	401.80	0	0
2832901	480.70	401.30	0	0
2832902	481.30	401.80	0	0
2832903	481.80	402.30	0	0
2832904	482.00	402.10	0	0
2832905	482.20	401.80	0	0
2832906	482.30	401.70	0	0
2832907	482.30	401.80	0	0
2832908	482.30	402.30	0	0
2832909	482.10	402.70	0	0
2832910	481.80	402.90	0	0
2832911	481.40	402.60	0	0
2832912	481.20	402.30	0	0
2832913	481.20	402.00	0	0
2832914	481.30	402.00	0	0
2832915	481.70	401.70	0	0
2832916	482.10	401.40	0	0
2832917	482.30	401.20	0	0
2832918	482.00	401.30	0	0
2832919	482.00	401.40	0	0
2832920	482.30	401.40	0	0
2832921	482.80	401.40	0	0
2832922	482.90	401.20	0	0
2832923	482.90	401.00	0	0
2832924	482.90	401.30	0	0
2832925	483.10	401.80	0	0
2832926	483.00	402.40	0	0
2832927	482.90	402.40	0	0
2832928	482.50	401.90	0	0
2832929	482.30	401.40	0	0
2832930	482.30	400.90	0	0
2832931	482.50	400.70	0	0
2832932	482.80	400.70	0	0
2832933	483.20	400.90	0	0
2832934	483.40	401.10	0	0
2832935	483.40	401.40	0	0
2832936	483.10	401.50	0	0
2832937	482.20	401.80	0	0
2832938	481.50	402.10	0	0
2832939	480.70	402.80	0	0
2832940	480.60	403.20	0	0
