SampleTime	X	Y	SacFlagEyeLink	SacFlagNystrom
2891727	520.50	391.40	0	0
2891728	520.30	391.70	0	0
2891729	520.50	391.80	0	0
2891730	520.90	391.40	0	0
2891731	521.20	391.00	0	0
2891732	521.20	390.80	0	0
2891733	521.20	390.80	0	0
2891734	521.20	390.80	0	0
2891735	521.20	390.90	0	0
2891736	520.80	391.30	0	0
2891737	520.40	391.70	0	0
2891738	520.10	392.10	0	0
2891739	520.00	392.20	0	0
2891740	520.00	392.40	0	0
2891741	520.20	393.00	0	0
2891742	520.40	393.50	0	0
2891743	520.70	393.60	0	0
2891744	520.70	393.60	0	0
2891745	520.30	393.60	0	0
2891746	519.90	393.70	0	0
2891747	520.10	393.70	1	0
2891748	520.50	393.80	1	0
2891749	520.30	393.30	1	0
2891750	519.20	392.40	1	0
2891751	517.30	391.50	1	0
2891752	514.70	391.40	1	0
2891753	512.60	389.50	1	0
2891754	511.20	387.30	1	0
2891755	509.10	385.00	1	0
2891756	507.00	382.90	1	0
2891757	503.60	379.90	1	0
2891758	501.30	376.80	1	0
2891759	499.20	375.50	1	0
2891760	498.40	374.00	1	0
2891761	497.50	372.80	1	0
2891762	496.60	371.90	1	0
2891763	495.70	372.00	1	0
2891764	495.70	371.70	0	0
2891765	495.50	371.40	0	0
2891766	494.00	371.10	0	0
2891767	492.60	370.70	0	0
2891768	491.20	370.40	0	0
2891769	491.30	370.10	0	0
2891770	491.60	369.90	0	0
2891771	491.90	369.80	0	0
2891772	492.00	369.80	0	0
2891773	492.80	369.60	0	0
2891774	493.50	369.30	0	0
2891775	494.20	369.10	0	0
2891776	494.20	369.10	0	0
2891777	494.20	369.00	0	0
2891778	494.70	369.00	0	0
2891779	495.10	369.10	0	0
2891780	495.00	369.40	0	0
2891781	493.80	369.60	0	0
2891782	492.60	369.90	0	0
2891783	491.60	370.10	0	0
2891784	491.30	370.50	0	0
2891785	491.10	370.80	0	0
2891786	491.80	370.20	0	0
2891787	492.40	369.30	0	0
2891788	493.00	368.40	0	0
2891789	493.00	368.40	0	0
2891790	492.10	368.40	0	0
2891791	491.20	368.70	0	0
2891792	490.40	369.00	0	0
2891793	490.60	368.20	0	0
2891794	490.90	367.20	0	0
2891795	491.20	367.00	0	0
2891796	492.00	367.90	0	0
2891797	492.40	368.60	0	0
2891798	493.20	368.40	0	0
2891799	493.60	368.10	0	0
2891800	492.80	367.90	0	0
2891801	491.50	367.80	0	0
2891802	490.40	367.60	0	0
2891803	490.70	367.30	0	0
2891804	490.60	367.30	0	0
2891805	490.40	367.70	0	0
2891806	490.90	368.00	0	0
2891807	491.80	367.90	0	0
2891808	493.10	368.00	0	0
2891809	493.30	368.20	0	0
2891810	493.30	368.30	0	0
2891811	492.30	368.60	0	0
2891812	491.50	369.00	0	0
2891813	490.60	369.40	0	0
2891814	490.50	369.50	0	0
2891815	490.50	369.50	0	0
2891816	490.60	368.80	0	0
2891817	490.60	368.10	0	0
2891818	490.30	367.90	0	0
2891819	490.00	368.50	0	0
2891820	490.00	368.80	0	0
2891821	490.30	368.50	0	0
2891822	490.50	368.30	0	0
2891823	490.70	368.20	0	0
2891824	490.70	368.20	0	0
2891825	491.20	368.70	0	0
2891826	491.70	369.20	0	0
2891827	492.10	369.50	0	0
2891828	492.10	369.40	0	0
2891829	492.10	369.20	0	0
2891830	492.00	369.20	0	0
2891831	492.10	369.20	0	0
2891832	492.20	369.10	0	0
2891833	492.40	369.10	0	0
2891834	492.70	368.20	0	0
2891835	492.90	367.40	0	0
2891836	493.00	367.50	0	0
2891837	493.10	368.40	0	0
2891838	492.60	369.30	0	0
2891839	492.10	369.30	0	0
2891840	491.40	368.80	0	0
2891841	491.30	368.20	0	0
2891842	491.20	367.60	0	0
2891843	491.20	367.60	0	0
2891844	491.30	367.80	0	0
2891845	491.20	368.20	0	0
2891846	491.00	368.50	0	0
2891847	490.90	368.40	0	0
2891848	490.80	368.30	0	0
2891849	490.80	368.30	0	0
2891850	490.80	368.40	0	0
2891851	490.80	368.80	0	0
2891852	490.40	369.10	0	0
2891853	490.10	369.40	0	0
2891854	489.30	369.30	0	0
2891855	489.00	369.20	0	0
2891856	489.50	369.10	0	0
2891857	490.30	369.00	0	0
2891858	490.80	369.20	0	0
2891859	490.40	369.40	0	0
2891860	490.90	369.60	0	0
2891861	491.80	369.40	0	0
2891862	491.90	369.40	0	0
2891863	491.20	369.50	0	0
2891864	490.60	369.90	0	0
2891865	490.60	370.20	0	0
2891866	490.70	370.20	0	0
2891867	490.50	369.90	0	0
2891868	490.80	369.70	0	0
2891869	491.00	369.60	0	0
2891870	491.30	369.20	0	0
2891871	491.30	368.60	0	0
2891872	490.60	368.10	0	0
2891873	489.90	368.10	0	0
2891874	489.30	367.90	0	0
2891875	489.60	367.70	0	0
2891876	490.90	367.40	0	0
2891877	492.00	367.30	0	0
2891878	492.30	367.60	0	0
2891879	491.70	368.00	0	0
2891880	491.00	368.30	0	0
2891881	491.00	368.30	0	0
2891882	491.10	367.80	0	0
2891883	491.30	367.50	0	0
2891884	491.40	367.00	0	0
2891885	491.50	366.80	0	0
2891886	492.10	367.40	0	0
2891887	492.30	368.20	0	0
2891888	492.50	369.10	0	0
2891889	492.20	369.30	0	0
2891890	492.00	369.50	0	0
2891891	491.80	369.90	0	0
2891892	491.60	370.40	0	0
2891893	491.80	370.80	0	0
2891894	492.10	370.30	0	0
2891895	492.10	370.00	0	0
2891896	492.10	369.60	0	0
2891897	492.20	369.60	0	0
2891898	492.50	368.80	0	0
2891899	492.60	368.10	0	0
2891900	492.60	368.50	0	0
2891901	492.50	369.40	0	0
2891902	492.00	370.50	0	0
2891903	491.70	370.60	0	0
2891904	491.50	370.60	0	0
2891905	491.60	370.50	0	0
2891906	491.80	370.00	0	0
2891907	492.10	369.60	0	0
2891908	492.30	369.10	0	0
2891909	492.30	369.00	0	0
2891910	492.20	369.10	0	0
2891911	491.90	369.40	0	0
2891912	491.70	369.40	0	0
2891913	491.50	369.50	0	0
2891914	491.70	369.80	0	0
2891915	491.80	370.10	0	0
2891916	491.90	370.50	0	0
2891917	491.90	370.00	0	0
2891918	491.90	368.90	0	0
2891919	491.90	367.80	0	0
2891920	492.00	367.50	0	0
2891921	492.40	367.60	0	0
2891922	492.90	367.90	0	0
2891923	493.30	368.30	0	0
2891924	493.30	368.70	0	0
2891925	493.10	369.00	0	0
2891926	492.80	369.00	0	0
2891927	492.60	368.90	0	0
2891928	492.50	368.90	0	0
2891929	492.80	369.00	0	0
2891930	493.10	369.20	0	0
2891931	493.20	369.20	0	0
2891932	492.90	369.30	0	0
2891933	492.50	369.40	0	0
2891934	492.10	369.50	0	0
2891935	492.20	369.60	0	0
2891936	492.50	369.70	0	0
2891937	492.70	369.40	0	0
2891938	492.60	369.10	0	0
2891939	491.70	368.70	0	0
2891940	490.80	368.60	0	0
2891941	490.30	368.80	0	0
2891942	490.90	369.70	0	0
2891943	491.40	370.40	0	0
2891944	491.60	370.90	0	0
2891945	492.00	370.30	0	0
2891946	492.30	369.00	0	0
2891947	492.60	367.80	0	0
2891948	492.60	367.70	0	0
2891949	492.50	368.30	0	0
2891950	492.30	368.90	0	0
2891951	492.60	369.40	0	0
2891952	493.00	370.00	0	0
2891953	492.70	370.80	0	0
2891954	491.90	371.10	0	0
2891955	491.10	370.50	0	0
2891956	491.40	369.60	0	0
2891957	491.80	368.20	0	0
2891958	492.10	367.70	0	0
2891959	492.40	367.40	0	0
2891960	492.70	367.50	0	0
2891961	493.00	367.70	0	0
2891962	492.90	368.20	0	0
2891963	492.70	369.00	0	0
2891964	492.10	369.80	0	0
2891965	491.70	370.00	0	0
2891966	491.20	370.30	0	0
2891967	491.30	370.50	0	0
2891968	491.90	370.60	0	0
2891969	492.80	370.30	0	0
2891970	493.60	370.10	0	0
2891971	493.60	369.90	0	0
2891972	493.20	369.90	0	0
2891973	492.80	370.10	0	0
2891974	492.60	370.30	0	0
2891975	492.30	370.40	0	0
2891976	492.00	370.20	0	0
2891977	491.80	370.10	0	0
2891978	492.50	370.10	0	0
2891979	493.10	370.20	0	0
2891980	493.60	370.60	0	0
2891981	493.40	370.90	0	0
2891982	493.10	371.30	0	0
2891983	493.00	371.40	0	0
2891984	493.20	371.90	0	0
2891985	493.30	372.30	0	0
2891986	492.80	371.80	0	0
2891987	492.10	370.90	0	0
2891988	491.50	369.90	0	0
2891989	491.60	370.00	0	0
2891990	491.40	370.10	0	0
2891991	491.10	370.30	0	0
2891992	490.90	370.00	0	0
2891993	491.10	369.70	0	0
2891994	491.20	369.70	0	0
2891995	491.20	370.00	0	0
2891996	491.20	370.20	0	0
2891997	491.00	370.00	0	0
2891998	490.90	370.00	0	0
2891999	490.80	370.00	0	0
2892000	490.80	370.10	0	0
2892001	490.80	369.80	0	0
2892002	490.80	369.20	0	0
2892003	491.00	368.70	0	0
2892004	491.20	368.50	0	0
2892005	491.60	368.80	0	0
2892006	492.00	369.50	0	0
2892007	492.30	370.10	0	0
2892008	491.60	370.60	0	0
2892009	490.80	369.60	0	0
2892010	490.30	368.70	0	0
2892011	490.70	367.70	0	0
2892012	490.90	367.60	0	0
2892013	490.80	368.60	0	0
2892014	490.60	369.60	0	0
2892015	490.30	370.10	0	0
2892016	489.90	369.70	0	0
2892017	489.60	369.20	0	0
2892018	489.70	369.10	0	0
2892019	490.40	368.90	0	0
2892020	491.20	369.30	0	0
2892021	491.50	369.40	0	0
2892022	491.80	369.50	0	0
2892023	492.00	368.60	0	0
2892024	492.60	368.10	0	0
2892025	493.10	367.50	0	0
2892026	492.00	367.60	0	0
2892027	490.50	368.30	0	0
2892028	489.60	369.00	0	0
2892029	490.10	369.40	0	0
2892030	490.60	369.10	0	0
2892031	490.40	369.00	0	0
2892032	490.20	369.20	0	0
2892033	489.90	369.50	0	0
2892034	490.60	369.70	0	0
2892035	491.20	369.70	0	0
2892036	491.40	369.70	0	0
2892037	491.00	369.50	0	0
2892038	490.70	369.60	0	0
2892039	491.20	369.50	0	0
2892040	491.60	369.30	0	0
2892041	491.80	369.20	0	0
2892042	491.70	369.60	0	0
2892043	491.60	370.00	0	0
2892044	491.50	370.40	0	0
2892045	491.50	370.30	0	0
2892046	491.70	370.30	0	0
2892047	491.80	370.30	0	0
2892048	492.20	370.30	0	0
2892049	492.50	370.50	0	0
2892050	492.70	370.70	0	0
2892051	492.80	370.90	0	0
2892052	492.80	370.40	0	0
2892053	492.70	369.70	0	0
2892054	492.70	369.00	0	0
2892055	492.20	368.70	0	0
2892056	491.80	368.60	0	0
2892057	491.70	368.70	0	0
2892058	492.10	369.20	0	0
2892059	492.20	369.50	0	0
