SampleTime	X	Y	SacFlagEyeLink	SacFlagNystrom
2874030	509.00	394.90	0	0
2874031	509.70	394.70	0	0
2874032	510.50	394.60	0	0
2874033	510.40	394.60	0	0
2874034	510.40	394.70	0	0
2874035	510.60	394.60	0	0
2874036	511.00	394.20	0	0
2874037	511.40	393.80	0	0
2874038	511.20	393.90	0	0
2874039	510.80	394.20	0	0
2874040	510.80	394.50	0	0
2874041	511.20	394.50	0	0
2874042	511.70	394.60	0	0
2874043	511.90	394.60	0	0
2874044	512.10	393.80	0	0
2874045	512.20	393.10	0	0
2874046	512.20	392.40	0	0
2874047	512.10	393.50	0	0
2874048	511.90	394.60	0	0
2874049	511.20	395.60	0	0
2874050	510.30	395.40	0	0
2874051	509.50	395.10	0	0
2874052	509.60	395.00	0	0
2874053	509.60	394.70	0	0
2874054	509.60	393.90	0	0
2874055	509.20	393.10	0	0
2874056	509.00	393.20	0	0
2874057	509.40	394.80	0	0
2874058	510.10	396.30	0	0
2874059	510.60	396.60	0	0
2874060	510.60	395.70	0	0
2874061	510.60	394.80	0	0
2874062	510.20	394.40	0	0
2874063	509.60	394.30	0	0
2874064	509.00	394.30	0	0
2874065	508.60	394.70	0	0
2874066	508.10	394.90	0	0
2874067	507.80	395.10	0	0
2874068	508.00	395.10	0	0
2874069	508.30	395.10	0	0
2874070	508.60	395.10	0	0
2874071	508.80	395.10	0	0
2874072	509.40	395.10	0	0
2874073	510.20	395.10	0	0
2874074	511.10	395.20	0	0
2874075	511.40	395.40	0	0
2874076	511.50	395.00	0	0
2874077	510.20	394.60	0	0
2874078	509.00	394.30	0	0
2874079	508.10	394.60	0	0
2874080	509.10	394.90	0	0
2874081	510.20	395.00	0	0
2874082	510.90	394.80	0	0
2874083	510.60	394.40	0	0
2874084	510.10	394.10	0	0
2874085	509.50	393.40	0	0
2874086	509.50	392.90	0	0
2874087	509.50	392.50	0	0
2874088	509.30	392.90	0	0
2874089	509.30	393.20	0	0
2874090	509.30	393.30	0	0
2874091	509.10	393.40	0	0
2874092	508.70	393.50	0	0
2874093	509.10	394.00	0	0
2874094	509.90	394.30	0	0
2874095	510.50	394.50	0	0
2874096	510.30	394.60	0	0
2874097	510.00	394.80	0	0
2874098	510.00	395.10	0	0
2874099	510.10	394.90	0	0
2874100	510.30	394.30	1	0
2874101	509.70	393.60	1	0
